class_name,cbo,lcom,class_length,avg_method_length,avg_cyclomatic_complexity,dit,fan_in,fan_out,label
GodClass1,0,0.6666666666666666,37,3.111111111111111,1.4444444444444444,0,0,0,God Class
GodClass2,0,0.7843137254901961,41,1.2777777777777777,1.0,0,0,0,God Class
GodClass3,0,0.84,112,3.3076923076923075,1.5384615384615385,0,0,0,God Class
GodClass4,0,0.6,43,3.3,1.6,0,0,0,God Class
GodClass5,0,0.7516339869281046,40,1.2222222222222223,1.0,0,0,0,God Class
GodClass6,0,0.8707692307692307,115,3.423076923076923,1.5384615384615385,0,0,0,God Class
GodClass7,0,0.7894736842105263,43,1.263157894736842,1.0,0,0,0,God Class
GodClass8,0,0.7692307692307693,62,3.4285714285714284,1.5714285714285714,0,0,0,God Class
GodClass9,0,0.7794117647058824,71,3.176470588235294,1.4705882352941178,0,0,0,God Class
GodClass10,0,0.7904761904761904,47,1.2380952380952381,1.0,0,0,0,God Class
GodClass11,0,0.7362637362637363,32,1.2857142857142858,1.0,0,0,0,God Class
GodClass12,0,0.75,70,3.1176470588235294,1.4705882352941178,0,0,0,God Class
GodClass13,0,0.84,112,3.3076923076923075,1.5384615384615385,0,0,0,God Class
GodClass14,0,0.7904761904761904,87,3.142857142857143,1.4761904761904763,0,0,0,God Class
GodClass15,0,0.8105263157894737,85,3.25,1.5,0,0,0,God Class
GodClass16,0,0.6,43,3.3,1.6,0,0,0,God Class
GodClass17,0,0.6,46,3.1818181818181817,1.5454545454545454,0,0,0,God Class
GodClass18,0,0.8285714285714286,89,3.238095238095238,1.4761904761904763,0,0,0,God Class
GodClass19,0,0.8105263157894737,85,3.25,1.5,0,0,0,God Class
GodClass20,0,0.8014705882352942,40,1.3529411764705883,1.0,0,0,0,God Class
GodClass21,0,0.7272727272727273,48,3.3636363636363638,1.5454545454545454,0,0,0,God Class
GodClass22,0,0.8523076923076923,113,3.3461538461538463,1.5384615384615385,0,0,0,God Class
GodClass23,0,0.8458498023715415,54,1.3478260869565217,1.0,0,0,0,God Class
GodClass24,0,0.8523076923076923,113,3.3461538461538463,1.5384615384615385,0,0,0,God Class
GodClass25,0,0.6,43,3.3,1.6,0,0,0,God Class
GodClass26,0,0.8421052631578947,84,3.4210526315789473,1.5263157894736843,0,0,0,God Class
GodClass27,0,0.8014705882352942,40,1.3529411764705883,1.0,0,0,0,God Class
GodClass28,0,0.8707692307692307,62,1.3846153846153846,1.0,0,0,0,God Class
GodClass29,0,0.83399209486166,99,3.3043478260869565,1.5217391304347827,0,0,0,God Class
GodClass30,0,0.803921568627451,42,1.3333333333333333,1.0,0,0,0,God Class
GodClass31,0,0.8571428571428571,98,3.4545454545454546,1.5454545454545454,0,0,0,God Class
GodClass32,0,0.8,36,1.4,1.0,0,0,0,God Class
GodClass33,0,0.6060606060606061,26,1.1666666666666667,1.0,0,0,0,God Class
GodClass34,0,0.8,38,1.375,1.0,0,0,0,God Class
GodClass35,0,0.6727272727272727,47,3.272727272727273,1.5454545454545454,0,0,0,God Class
GodClass36,0,0.88,61,1.44,1.0,0,0,0,God Class
GodClass37,0,0.7272727272727273,26,1.3636363636363635,1.0,0,0,0,God Class
GodClass38,0,0.8615384615384616,114,3.3846153846153846,1.5384615384615385,0,0,0,God Class
GodClass39,0,0.7894736842105263,81,3.263157894736842,1.5263157894736843,0,0,0,God Class
GodClass40,0,0.775,37,1.3125,1.0,0,0,0,God Class
GodClass41,0,0.8070175438596491,44,1.3157894736842106,1.0,0,0,0,God Class
GodClass42,0,0.7272727272727273,51,3.25,1.5,0,0,0,God Class
GodClass43,0,0.7794117647058824,39,1.2941176470588236,1.0,0,0,0,God Class
GodClass44,0,0.8,38,1.375,1.0,0,0,0,God Class
GodClass45,0,0.84,105,3.2,1.48,0,0,0,God Class
GodClass46,0,0.8188405797101449,101,3.2083333333333335,1.5,0,0,0,God Class
GodClass47,0,0.8441558441558441,52,1.3636363636363635,1.0,0,0,0,God Class
GodClass48,0,0.7516339869281046,40,1.2222222222222223,1.0,0,0,0,God Class
GodClass49,0,0.84,59,1.2692307692307692,1.0,0,0,0,God Class
GodClass50,0,0.8523076923076923,113,3.3461538461538463,1.5384615384615385,0,0,0,God Class
GodClass51,0,0.88,63,1.4230769230769231,1.0,0,0,0,God Class
GodClass52,0,0.8369565217391305,55,1.2916666666666667,1.0,0,0,0,God Class
GodClass53,0,0.7714285714285715,65,3.3333333333333335,1.5333333333333334,0,0,0,God Class
GodClass54,0,0.8571428571428571,53,1.4090909090909092,1.0,0,0,0,God Class
GodClass55,0,0.8181818181818182,98,3.260869565217391,1.5217391304347827,0,0,0,God Class
GodClass56,0,0.7307692307692307,30,1.3076923076923077,1.0,0,0,0,God Class
GodClass57,0,0.7843137254901961,41,1.2777777777777777,1.0,0,0,0,God Class
GodClass58,0,0.6060606060606061,26,1.1666666666666667,1.0,0,0,0,God Class
GodClass59,0,0.6818181818181818,27,1.25,1.0,0,0,0,God Class
GodClass60,0,0.803921568627451,42,1.3333333333333333,1.0,0,0,0,God Class
GodClass61,0,0.7428571428571429,64,3.2666666666666666,1.5333333333333334,0,0,0,God Class
GodClass62,0,0.8369565217391305,102,3.25,1.5,0,0,0,God Class
GodClass63,0,0.8311688311688312,96,3.3636363636363638,1.5454545454545454,0,0,0,God Class
GodClass64,0,0.8478260869565217,56,1.3333333333333333,1.0,0,0,0,God Class
GodClass65,0,0.8181818181818182,98,3.260869565217391,1.5217391304347827,0,0,0,God Class
GodClass66,0,0.6060606060606061,49,3.0833333333333335,1.5,0,0,0,God Class
GodClass67,0,0.7894736842105263,81,3.263157894736842,1.5263157894736843,0,0,0,God Class
GodClass68,0,0.8235294117647058,41,1.411764705882353,1.0,0,0,0,God Class
GodClass69,0,0.775,37,1.3125,1.0,0,0,0,God Class
GodClass70,0,0.6727272727272727,47,3.272727272727273,1.5454545454545454,0,0,0,God Class
GodClass71,0,0.84,112,3.3076923076923075,1.5384615384615385,0,0,0,God Class
GodClass72,0,0.6,24,1.1818181818181819,1.0,0,0,0,God Class
GodClass73,0,0.75,67,3.1875,1.5,0,0,0,God Class
GodClass74,0,0.8369565217391305,102,3.25,1.5,0,0,0,God Class
GodClass75,0,0.6,43,3.3,1.6,0,0,0,God Class
GodClass76,0,0.8458498023715415,54,1.3478260869565217,1.0,0,0,0,God Class
GodClass77,0,0.8458498023715415,100,3.347826086956522,1.5217391304347827,0,0,0,God Class
GodClass78,0,0.8707692307692307,115,3.423076923076923,1.5384615384615385,0,0,0,God Class
GodClass79,0,0.8105263157894737,46,1.3,1.0,0,0,0,God Class
GodClass80,0,0.84,112,3.3076923076923075,1.5384615384615385,0,0,0,God Class
LongMethod81,0,0.0,62,7.0,5.571428571428571,0,0,0,Long Method
LongMethod82,0,0.0,36,5.4,4.2,0,0,0,Long Method
LongMethod83,0,0.0,65,6.25,5.0,0,0,0,Long Method
LongMethod84,0,0.0,59,8.0,6.333333333333333,0,0,0,Long Method
LongMethod85,0,0.0,36,5.4,4.2,0,0,0,Long Method
LongMethod86,0,0.0,36,5.4,4.2,0,0,0,Long Method
LongMethod87,0,0.0,56,9.4,7.4,0,0,0,Long Method
LongMethod88,0,0.0,59,8.0,6.333333333333333,0,0,0,Long Method
LongMethod89,0,0.0,46,7.4,5.8,0,0,0,Long Method
LongMethod90,0,0.0,59,8.0,6.333333333333333,0,0,0,Long Method
LongMethod91,0,0.0,56,9.4,7.4,0,0,0,Long Method
LongMethod92,0,0.0,56,9.4,7.4,0,0,0,Long Method
LongMethod93,0,0.0,52,5.571428571428571,4.428571428571429,0,0,0,Long Method
LongMethod94,0,0.0,49,6.333333333333333,5.0,0,0,0,Long Method
LongMethod95,0,0.0,62,7.0,5.571428571428571,0,0,0,Long Method
LongMethod96,0,0.0,42,4.142857142857143,3.2857142857142856,0,0,0,Long Method
LongMethod97,0,0.0,49,6.333333333333333,5.0,0,0,0,Long Method
LongMethod98,0,0.0,62,7.0,5.571428571428571,0,0,0,Long Method
LongMethod99,0,0.0,52,5.571428571428571,4.428571428571429,0,0,0,Long Method
LongMethod100,0,0.0,36,5.4,4.2,0,0,0,Long Method
LongMethod101,0,0.0,46,7.4,5.8,0,0,0,Long Method
LongMethod102,0,0.0,39,4.666666666666667,3.6666666666666665,0,0,0,Long Method
LongMethod103,0,0.0,62,7.0,5.571428571428571,0,0,0,Long Method
LongMethod104,0,0.0,42,4.142857142857143,3.2857142857142856,0,0,0,Long Method
LongMethod105,0,0.0,47,22.0,17.0,0,0,0,Long Method
LongMethod106,0,0.0,57,27.0,21.0,0,0,0,Long Method
LongMethod107,0,0.0,67,32.0,25.0,0,0,0,Long Method
LongMethod108,0,0.0,67,32.0,25.0,0,0,0,Long Method
LongMethod109,0,0.0,57,27.0,21.0,0,0,0,Long Method
LongMethod110,0,0.0,77,37.0,29.0,0,0,0,Long Method
LongMethod111,0,0.0,87,42.0,33.0,0,0,0,Long Method
LongMethod112,0,0.0,67,32.0,25.0,0,0,0,Long Method
LongMethod113,0,0.0,87,42.0,33.0,0,0,0,Long Method
LongMethod114,0,0.0,87,42.0,33.0,0,0,0,Long Method
LongMethod115,0,0.0,47,22.0,17.0,0,0,0,Long Method
LongMethod116,0,0.0,87,42.0,33.0,0,0,0,Long Method
LongMethod117,0,0.0,67,32.0,25.0,0,0,0,Long Method
LongMethod118,0,0.0,47,22.0,17.0,0,0,0,Long Method
LongMethod119,0,0.0,57,27.0,21.0,0,0,0,Long Method
LongMethod120,0,0.0,67,32.0,25.0,0,0,0,Long Method
LongMethod121,0,0.0,47,22.0,17.0,0,0,0,Long Method
LongMethod122,0,0.0,47,22.0,17.0,0,0,0,Long Method
LongMethod123,0,0.0,87,42.0,33.0,0,0,0,Long Method
LongMethod124,0,0.0,57,27.0,21.0,0,0,0,Long Method
LongMethod125,0,0.0,67,32.0,25.0,0,0,0,Long Method
LongMethod126,0,0.0,67,32.0,25.0,0,0,0,Long Method
LongMethod127,0,0.0,87,42.0,33.0,0,0,0,Long Method
LongMethod128,0,0.0,57,27.0,21.0,0,0,0,Long Method
