class_name,cbo,lcom,class_length,avg_method_length,avg_cyclomatic_complexity,dit,fan_in,fan_out,label,split
MorfessorEvaluationResult,0,0.5238095238095238,68,5.571428571428571,1.2857142857142858,0,2,0,Clean,test
MorfessorEvaluation,1,0.7619047619047619,134,16.0,2.857142857142857,0,0,3,Feature Envy,test
WilcoxonSignedRank,0,1.0,97,15.2,3.2,0,0,1,Feature Envy,train
TrackerAppConfig,0,0.0,5,1.0,1.0,0,0,0,Clean,train
OrganizationUnitProvisioningClient,0,0.9956709956709957,472,17.0,1.4090909090909092,0,0,0,God Class,test
CalendarResourceEntry,0,0.9848484848484849,152,9.25,1.6666666666666667,0,0,0,God Class,train
CalendarResourceFeed,0,0.0,4,0.0,0.0,0,0,0,Clean,train
VariationAdmin,0,0.0,6,1.0,1.0,0,0,0,Clean,test
BaseProductSet,0,1.0,45,11.666666666666666,4.333333333333333,0,0,0,Feature Envy,train
SettingsAdmin,0,0.0,1,0.0,0.0,0,0,0,Clean,test
Transition,0,0.6666666666666666,29,1.3333333333333333,1.0,0,0,0,Data Class,train
AirflowException,0,0.0,1,0.0,0.0,0,0,0,Clean,train
AirflowSensorTimeout,0,0.0,1,0.0,0.0,1,0,0,Clean,train
AirflowTaskTimeout,0,0.0,1,0.0,0.0,1,0,0,Clean,test
AirflowSkipException,0,0.0,1,0.0,0.0,1,0,0,Clean,train
TypeInfo,0,0.7222222222222222,42,2.888888888888889,1.4444444444444444,0,0,0,Clean,test
ColdfusionFormatter,0,0.0,56,17.0,6.0,0,0,0,Long Method,train
BeautifierOptions,0,0.0,20,8.0,1.0,0,0,0,Data Class,train
Printer,0,0.31868131868131866,69,2.9285714285714284,1.7857142857142858,0,1,0,Clean,test
Beautifier,1,0.14545454545454545,310,25.818181818181817,8.363636363636363,0,0,13,Long Method,train
TreeBuilderRegistry,0,0.0,48,14.0,4.0,0,0,0,Clean,test
TreeBuilder,0,1.0,96,8.0,2.0,0,0,0,Clean,train
SAXTreeBuilder,0,0.9454545454545454,43,1.7272727272727273,1.0,1,0,0,Clean,train
HTMLTreeBuilder,0,0.0,65,31.0,6.0,1,0,0,Clean,train
ParserRejectedMarkup,0,0.0,1,0.0,0.0,0,0,0,Clean,train
CMakeBuildConfig,1,0.6838235294117647,226,10.4375,2.5625,0,0,1,God Class,train
NoSuchProfile,0,0.0,10,3.0,1.0,0,1,0,Clean,train
GentooPackage,0,1.0,42,18.0,3.0,0,0,0,Feature Envy,test
FeatureOpType,0,0.0,2,0.0,0.0,0,0,0,Clean,test
FeatureType,0,0.0,3,0.0,0.0,0,0,0,Clean,test
InvalidValueTreatment,0,0.0,1,0.0,0.0,0,0,0,Clean,train
Feature,0,0.8222222222222222,61,3.6,1.1,0,2,0,Clean,train
NumericFeature,0,1.0,6,1.0,1.0,1,1,0,Clean,test
RealNumericFeature,0,0.0,3,1.0,1.0,2,0,0,Data Class,train
IntegerNumericFeature,0,1.0,6,1.0,1.0,2,1,0,Data Class,train
