class_name,cbo,lcom,class_length,avg_method_length,avg_cyclomatic_complexity,dit,fan_in,fan_out,atfd,fdp,fdp_concentration,label,split
Verify,0,0.0,4,3.0,1.0,0,0,0,1,1,1.0,Clean,train
When,0,0.0,4,3.0,1.0,0,0,0,1,1,1.0,Clean,test
Expect,0,0.0,5,4.0,1.0,0,0,0,1,1,1.0,Clean,train
Spy,0,1.0,12,3.5,1.5,0,0,0,0,0,0.0,Clean,train
Dummy,0,1.0,16,5.5,2.0,0,0,0,1,1,1.0,Clean,train
UserContext,0,0.3333333333333333,27,8.0,2.0,0,0,0,1,1,1.0,Clean,train
RamsesTicketAuthRegisterView,0,0.0,2,0.0,0.0,1,0,0,0,0,0.0,Clean,test
RamsesTicketAuthLoginView,0,0.0,2,0.0,0.0,0,0,0,0,0,0.0,Clean,train
RamsesTicketAuthLogoutView,0,0.0,2,0.0,0.0,0,0,0,0,0,0.0,Clean,train
RegisterViewBase,0,0.0,3,0.0,0.0,0,0,0,0,0,0.0,Clean,train
RamsesTokenAuthRegisterView,0,0.0,2,0.0,0.0,1,0,0,0,0,0.0,Clean,train
RamsesTokenAuthClaimView,0,0.0,2,0.0,0.0,0,0,0,0,0,0.0,Clean,train
RamsesTokenAuthResetView,0,0.0,2,0.0,0.0,0,0,0,0,0,0.0,Clean,train
RegisterViewBase,0,0.0,3,0.0,0.0,0,0,0,0,0,0.0,Clean,train
AuthUser,0,0.0,2,0.0,0.0,0,0,0,0,0,0.0,Clean,test
GeneratedACLBase,0,0.0,8,5.0,1.0,0,0,0,0,0,0.0,Clean,train
Verify,0,0.0,4,3.0,1.0,0,0,0,1,1,1.0,Clean,train
When,0,0.0,4,3.0,1.0,0,0,0,1,1,1.0,Clean,train
Expect,0,0.0,5,4.0,1.0,0,0,0,1,1,1.0,Clean,train
Spy,0,1.0,12,3.5,1.5,0,0,0,0,0,0.0,Clean,train
Dummy,0,1.0,16,5.5,2.0,0,0,0,1,1,1.0,Clean,test
UserContext,0,0.3333333333333333,27,8.0,2.0,0,0,0,1,1,1.0,Clean,train
MorfessorEvaluationResult,0,0.5238095238095238,69,6.571428571428571,1.2857142857142858,0,2,0,1,1,1.0,Clean,train
MorfessorEvaluation,1,0.7619047619047619,135,17.0,2.857142857142857,0,0,3,8,6,0.25,Clean,train
WilcoxonSignedRank,0,1.0,98,16.2,3.2,0,0,1,4,3,0.5,Clean,train
TrackerAppConfig,0,0.0,6,2.0,1.0,0,0,0,0,0,0.0,Clean,test
OrganizationUnitProvisioningClient,0,0.9956709956709957,473,18.0,1.4090909090909092,0,0,0,11,6,0.2727,God Class,train
CalendarResourceEntry,0,0.9848484848484849,153,10.25,1.6666666666666667,0,0,0,2,1,1.0,God Class,train
