library,file,class_name,on_test_path,n_methods,our_class_length,our_avg_method_length,radon_loc,radon_lloc,radon_sloc,radon_comments,radon_multi,radon_blank
numpy-1.9.2,numpy-1.9.2/setup.py,sdist_checked,False,1,4,3.0,5,5,4,0,0,0
numpy-1.9.2,numpy-1.9.2/doc/sphinxext/numpydoc/comment_eater.py,Comment,False,3,21,5.333333333333333,22,14,13,3,4,2
numpy-1.9.2,numpy-1.9.2/doc/sphinxext/numpydoc/comment_eater.py,NonComment,False,3,18,4.333333333333333,19,13,12,1,4,2
numpy-1.9.2,numpy-1.9.2/doc/sphinxext/numpydoc/comment_eater.py,CommentBlocker,False,7,78,10.0,79,54,46,5,18,10
numpy-1.9.2,numpy-1.9.2/doc/sphinxext/numpydoc/compiler_unparse.py,UnparseCompilerAst,False,56,512,7.75,513,388,359,27,42,80
numpy-1.9.2,numpy-1.9.2/doc/sphinxext/numpydoc/docscrape.py,Reader,False,11,71,5.2727272727272725,72,55,51,2,8,13
numpy-1.9.2,numpy-1.9.2/doc/sphinxext/numpydoc/docscrape.py,NumpyDocString,False,22,315,13.136363636363637,316,247,252,6,10,50
numpy-1.9.2,numpy-1.9.2/doc/sphinxext/numpydoc/docscrape.py,FunctionDoc,False,3,50,16.0,51,41,42,2,0,8
numpy-1.9.2,numpy-1.9.2/doc/sphinxext/numpydoc/docscrape.py,ClassDoc,False,3,56,16.333333333333332,57,40,48,1,0,9
numpy-1.9.2,numpy-1.9.2/doc/sphinxext/numpydoc/docscrape_sphinx.py,SphinxDocString,False,19,224,10.736842105263158,225,186,189,5,4,27
numpy-1.9.2,numpy-1.9.2/doc/sphinxext/numpydoc/docscrape_sphinx.py,SphinxFunctionDoc,False,1,3,3.0,4,4,4,0,0,0
numpy-1.9.2,numpy-1.9.2/doc/sphinxext/numpydoc/docscrape_sphinx.py,SphinxClassDoc,False,1,3,3.0,4,4,4,0,0,0
numpy-1.9.2,numpy-1.9.2/doc/sphinxext/numpydoc/docscrape_sphinx.py,SphinxObjDoc,False,1,4,4.0,5,5,5,0,0,0
numpy-1.9.2,numpy-1.9.2/doc/sphinxext/numpydoc/linkcode.py,LinkcodeError,False,0,1,0.0,2,2,2,0,0,0
numpy-1.9.2,numpy-1.9.2/doc/sphinxext/numpydoc/numpydoc.py,ManglingDomainBase,False,2,10,3.5,11,8,9,0,0,2
numpy-1.9.2,numpy-1.9.2/doc/sphinxext/numpydoc/numpydoc.py,NumpyPythonDomain,False,0,11,0.0,12,5,12,0,0,0
numpy-1.9.2,numpy-1.9.2/doc/sphinxext/numpydoc/numpydoc.py,NumpyCDomain,False,0,8,0.0,9,4,9,0,0,0
numpy-1.9.2,numpy-1.9.2/doc/sphinxext/numpydoc/plot_directive.py,ImageFile,False,3,10,2.6666666666666665,11,9,9,0,0,2
numpy-1.9.2,numpy-1.9.2/doc/sphinxext/numpydoc/plot_directive.py,PlotError,False,0,1,0.0,2,2,2,0,0,0
numpy-1.9.2,numpy-1.9.2/doc/sphinxext/numpydoc/traitsdoc.py,SphinxTraitsDoc,False,4,69,16.5,70,42,60,1,0,9
numpy-1.9.2,numpy-1.9.2/numpy/ctypeslib.py,_ndptr,False,3,36,10.333333333333334,37,21,31,0,3,3
numpy-1.9.2,numpy-1.9.2/numpy/_import_tools.py,PackageLoader,False,13,326,24.307692307692307,327,230,239,1,38,48
numpy-1.9.2,numpy-1.9.2/numpy/_import_tools.py,PackageLoaderDebug,False,1,9,9.0,10,10,9,0,0,0
numpy-1.9.2,numpy-1.9.2/numpy/__init__.py,ModuleDeprecationWarning,False,0,9,0.0,10,3,2,0,6,2
numpy-1.9.2,numpy-1.9.2/numpy/__init__.py,VisibleDeprecationWarning,False,0,8,0.0,9,3,2,0,5,2
numpy-1.9.2,numpy-1.9.2/numpy/core/arrayprint.py,FloatFormat,False,3,97,31.666666666666668,98,85,87,4,0,7
numpy-1.9.2,numpy-1.9.2/numpy/core/arrayprint.py,IntegerFormat,False,2,18,8.5,19,14,15,3,0,1
numpy-1.9.2,numpy-1.9.2/numpy/core/arrayprint.py,LongFloatFormat,False,2,27,12.0,28,25,25,2,0,1
numpy-1.9.2,numpy-1.9.2/numpy/core/arrayprint.py,LongComplexFormat,False,2,8,3.5,9,8,8,0,0,1
numpy-1.9.2,numpy-1.9.2/numpy/core/arrayprint.py,ComplexFormat,False,2,14,6.5,15,13,14,0,0,1
numpy-1.9.2,numpy-1.9.2/numpy/core/arrayprint.py,DatetimeFormat,False,2,26,12.5,27,18,22,3,0,2
numpy-1.9.2,numpy-1.9.2/numpy/core/arrayprint.py,TimedeltaFormat,False,2,9,4.0,10,8,9,0,0,1
numpy-1.9.2,numpy-1.9.2/numpy/core/defchararray.py,chararray,False,55,805,10.963636363636363,806,191,144,9,491,162
numpy-1.9.2,numpy-1.9.2/numpy/core/getlimits.py,finfo,False,4,167,24.0,168,78,94,1,59,14
numpy-1.9.2,numpy-1.9.2/numpy/core/getlimits.py,iinfo,False,5,101,8.8,102,44,46,0,36,17
numpy-1.9.2,numpy-1.9.2/numpy/core/machar.py,MachAr,False,3,317,78.66666666666667,318,193,204,14,81,20
numpy-1.9.2,numpy-1.9.2/numpy/core/memmap.py,memmap,False,3,285,36.333333333333336,286,79,82,3,146,55
numpy-1.9.2,numpy-1.9.2/numpy/core/numeric.py,ComplexWarning,False,0,8,0.0,9,3,2,0,5,2
numpy-1.9.2,numpy-1.9.2/numpy/core/numeric.py,_unspecified,False,0,1,0.0,2,2,2,0,0,0
numpy-1.9.2,numpy-1.9.2/numpy/core/numeric.py,errstate,False,3,74,3.6666666666666665,75,13,12,2,47,14
numpy-1.9.2,numpy-1.9.2/numpy/core/numerictypes.py,_typedict,False,1,9,2.0,10,4,3,0,5,2
numpy-1.9.2,numpy-1.9.2/numpy/core/records.py,format_parser,False,4,129,17.0,130,56,54,5,52,18
numpy-1.9.2,numpy-1.9.2/numpy/core/records.py,record,False,5,60,10.6,61,51,49,4,2,5
numpy-1.9.2,numpy-1.9.2/numpy/core/records.py,recarray,False,7,215,14.142857142857142,216,93,92,10,88,29
numpy-1.9.2,numpy-1.9.2/numpy/core/setup.py,CallOnceOnly,False,4,28,6.25,29,26,26,0,0,3
numpy-1.9.2,numpy-1.9.2/numpy/core/setup_common.py,MismatchCAPIWarning,False,0,1,0.0,2,2,2,0,0,0
numpy-1.9.2,numpy-1.9.2/numpy/core/_internal.py,_missing_ctypes,False,2,5,2.0,6,5,5,0,0,1
numpy-1.9.2,numpy-1.9.2/numpy/core/_internal.py,_ctypes,False,8,46,4.25,47,39,39,0,0,8
numpy-1.9.2,numpy-1.9.2/numpy/core/code_generators/genapi.py,StealRef,False,2,8,3.5,9,8,8,1,0,1
numpy-1.9.2,numpy-1.9.2/numpy/core/code_generators/genapi.py,NonNull,False,2,8,3.5,9,8,8,1,0,1
numpy-1.9.2,numpy-1.9.2/numpy/core/code_generators/genapi.py,Function,False,5,45,8.2,46,40,42,0,0,4
numpy-1.9.2,numpy-1.9.2/numpy/core/code_generators/genapi.py,ParseError,False,2,7,3.0,8,7,7,0,0,1
numpy-1.9.2,numpy-1.9.2/numpy/core/code_generators/genapi.py,TypeApi,False,4,24,5.25,25,14,22,0,0,3
numpy-1.9.2,numpy-1.9.2/numpy/core/code_generators/genapi.py,GlobalVarApi,False,4,24,5.25,25,14,22,0,0,3
numpy-1.9.2,numpy-1.9.2/numpy/core/code_generators/genapi.py,BoolValuesApi,False,4,24,5.25,25,13,22,0,0,3
numpy-1.9.2,numpy-1.9.2/numpy/core/code_generators/genapi.py,FunctionApi,False,5,37,6.6,38,25,34,0,0,4
numpy-1.9.2,numpy-1.9.2/numpy/core/code_generators/generate_umath.py,FullTypeDescr,False,0,1,0.0,2,2,2,0,0,0
numpy-1.9.2,numpy-1.9.2/numpy/core/code_generators/generate_umath.py,TypeDescription,False,2,38,10.0,39,22,21,0,16,2
