library,on_test_path,our_method_length,our_method_length_plus1,radon_loc,radon_lloc,radon_sloc
numpy-1.9.2,False,2,3,3,3,3
numpy-1.9.2,False,6,7,7,4,4
numpy-1.9.2,False,5,6,6,5,4
numpy-1.9.2,False,2,3,3,2,3
numpy-1.9.2,False,2,3,3,3,3
numpy-1.9.2,False,6,7,7,5,4
numpy-1.9.2,False,2,3,3,2,3
numpy-1.9.2,False,8,9,9,4,4
numpy-1.9.2,False,9,10,10,9,8
numpy-1.9.2,False,12,13,13,12,11
numpy-1.9.2,False,5,6,6,5,4
numpy-1.9.2,False,14,15,15,10,8
numpy-1.9.2,False,6,7,7,5,4
numpy-1.9.2,False,9,10,10,7,6
numpy-1.9.2,False,11,12,12,9,8
numpy-1.9.2,False,5,6,6,6,5
numpy-1.9.2,False,2,3,3,3,2
numpy-1.9.2,False,3,4,4,4,3
numpy-1.9.2,False,2,3,3,3,2
numpy-1.9.2,False,9,10,10,10,9
numpy-1.9.2,False,1,2,2,2,2
numpy-1.9.2,False,6,7,7,7,7
numpy-1.9.2,False,4,5,5,4,3
numpy-1.9.2,False,12,13,13,9,8
numpy-1.9.2,False,5,6,6,3,2
numpy-1.9.2,False,11,12,12,7,6
numpy-1.9.2,False,9,10,10,8,7
numpy-1.9.2,False,9,10,10,8,7
numpy-1.9.2,False,9,10,10,8,7
numpy-1.9.2,False,20,21,21,26,19
numpy-1.9.2,False,4,5,5,5,5
numpy-1.9.2,False,3,4,4,3,2
numpy-1.9.2,False,4,5,5,4,3
numpy-1.9.2,False,8,9,9,9,9
numpy-1.9.2,False,4,5,5,4,3
numpy-1.9.2,False,1,2,2,2,2
numpy-1.9.2,False,1,2,2,2,2
numpy-1.9.2,False,12,13,13,11,10
numpy-1.9.2,False,21,22,22,21,20
numpy-1.9.2,False,10,11,11,9,8
numpy-1.9.2,False,21,22,22,20,20
numpy-1.9.2,False,8,9,9,8,8
numpy-1.9.2,False,10,11,11,9,8
numpy-1.9.2,False,5,6,6,5,4
numpy-1.9.2,False,6,7,7,7,7
numpy-1.9.2,False,3,4,4,4,4
numpy-1.9.2,False,1,2,2,2,2
numpy-1.9.2,False,1,2,2,2,2
numpy-1.9.2,False,1,2,2,2,2
numpy-1.9.2,False,3,4,4,4,4
numpy-1.9.2,False,6,7,7,7,7
numpy-1.9.2,False,1,2,2,2,2
numpy-1.9.2,False,10,11,11,13,11
numpy-1.9.2,False,1,2,2,2,2
numpy-1.9.2,False,9,10,10,10,10
numpy-1.9.2,False,11,12,12,9,9
numpy-1.9.2,False,5,6,6,6,6
numpy-1.9.2,False,2,3,3,3,3
numpy-1.9.2,False,1,2,2,2,2
numpy-1.9.2,False,7,8,8,8,8
numpy-1.9.2,False,20,21,21,19,19
numpy-1.9.2,False,17,18,18,11,11
numpy-1.9.2,False,2,3,3,3,3
numpy-1.9.2,False,2,3,3,3,3
numpy-1.9.2,False,9,10,10,10,10
numpy-1.9.2,False,1,2,2,2,2
numpy-1.9.2,False,24,25,25,20,22
numpy-1.9.2,False,3,4,4,2,2
numpy-1.9.2,False,1,2,2,2,2
numpy-1.9.2,False,1,2,2,2,2
numpy-1.9.2,False,13,14,14,7,6
numpy-1.9.2,False,1,2,2,2,2
numpy-1.9.2,False,1,2,2,2,2
numpy-1.9.2,False,6,7,7,7,7
numpy-1.9.2,False,5,6,6,6,6
numpy-1.9.2,False,1,2,2,2,2
numpy-1.9.2,False,8,9,9,11,9
numpy-1.9.2,False,4,5,5,5,5
numpy-1.9.2,False,3,4,4,4,4
numpy-1.9.2,False,4,5,5,5,5
numpy-1.9.2,False,1,2,2,2,2
numpy-1.9.2,False,23,24,24,6,22
numpy-1.9.2,False,1,2,2,2,2
numpy-1.9.2,False,4,5,5,5,5
numpy-1.9.2,False,12,13,13,9,9
numpy-1.9.2,False,9,10,10,11,8
numpy-1.9.2,False,9,10,10,7,7
numpy-1.9.2,False,10,11,11,12,10
numpy-1.9.2,False,15,16,16,14,13
numpy-1.9.2,False,53,54,54,46,41
numpy-1.9.2,False,17,18,18,13,12
numpy-1.9.2,False,19,20,20,16,15
numpy-1.9.2,False,15,16,16,14,15
numpy-1.9.2,False,1,2,2,2,2
numpy-1.9.2,False,4,5,5,5,5
numpy-1.9.2,False,4,5,5,5,5
numpy-1.9.2,False,4,5,5,5,5
numpy-1.9.2,False,4,5,5,5,5
numpy-1.9.2,False,11,12,12,12,12
numpy-1.9.2,False,6,7,7,7,7
numpy-1.9.2,False,23,24,24,25,24
numpy-1.9.2,False,8,9,9,9,9
numpy-1.9.2,False,15,16,16,15,16
numpy-1.9.2,False,23,24,24,21,21
numpy-1.9.2,False,6,7,7,7,7
numpy-1.9.2,False,16,17,17,12,13
numpy-1.9.2,False,34,35,35,28,30
numpy-1.9.2,False,6,7,7,4,7
numpy-1.9.2,False,6,7,7,4,7
numpy-1.9.2,False,2,3,3,3,3
numpy-1.9.2,False,2,3,3,3,3
numpy-1.9.2,False,1,2,2,2,2
numpy-1.9.2,False,1,2,2,2,2
numpy-1.9.2,False,4,5,5,5,5
numpy-1.9.2,False,5,6,6,6,6
numpy-1.9.2,False,1,2,2,2,2
numpy-1.9.2,False,1,2,2,2,2
numpy-1.9.2,False,15,16,16,15,16
numpy-1.9.2,False,15,16,16,15,16
numpy-1.9.2,False,5,6,6,6,6
numpy-1.9.2,False,50,51,51,37,38
numpy-1.9.2,False,8,9,9,9,9
numpy-1.9.2,False,6,7,7,8,7
numpy-1.9.2,False,5,6,6,6,6
numpy-1.9.2,False,14,15,15,14,14
numpy-1.9.2,False,20,21,21,19,19
numpy-1.9.2,False,12,13,13,11,12
numpy-1.9.2,False,18,19,19,19,19
numpy-1.9.2,False,2,3,3,3,3
numpy-1.9.2,False,2,3,3,3,3
numpy-1.9.2,False,3,4,4,4,4
numpy-1.9.2,False,2,3,3,3,3
numpy-1.9.2,False,3,4,4,3,4
numpy-1.9.2,False,3,4,4,4,4
numpy-1.9.2,False,1,2,2,2,2
numpy-1.9.2,False,1,2,2,2,2
numpy-1.9.2,False,45,46,46,22,39
numpy-1.9.2,False,1,2,2,2,2
numpy-1.9.2,False,1,2,2,2,2
numpy-1.9.2,False,15,16,16,15,16
numpy-1.9.2,False,4,5,5,3,2
numpy-1.9.2,False,8,9,9,3,9
numpy-1.9.2,False,16,17,17,12,17
numpy-1.9.2,False,20,21,21,18,17
numpy-1.9.2,False,18,19,19,16,17
numpy-1.9.2,False,51,52,52,41,45
numpy-1.9.2,False,24,25,25,19,18
numpy-1.9.2,False,109,110,110,55,63
numpy-1.9.2,False,10,11,11,11,10
numpy-1.9.2,False,8,9,9,9,8
numpy-1.9.2,False,2,3,3,3,3
numpy-1.9.2,False,2,3,3,3,3
numpy-1.9.2,False,2,3,3,3,3
numpy-1.9.2,False,10,11,11,10,9
numpy-1.9.2,False,19,20,20,21,20
numpy-1.9.2,False,28,29,29,20,22
numpy-1.9.2,False,8,9,9,9,8
numpy-1.9.2,False,12,13,13,11,11
numpy-1.9.2,False,49,50,50,43,47
numpy-1.9.2,False,31,32,32,30,28
numpy-1.9.2,False,11,12,12,8,9
numpy-1.9.2,False,4,5,5,5,5
numpy-1.9.2,False,2,3,3,3,3
numpy-1.9.2,False,20,21,21,21,21
numpy-1.9.2,False,2,3,3,3,3
numpy-1.9.2,False,3,4,4,4,4
numpy-1.9.2,False,3,4,4,3,4
numpy-1.9.2,False,8,9,9,9,9
numpy-1.9.2,False,19,20,20,15,16
numpy-1.9.2,False,4,5,5,2,5
numpy-1.9.2,False,5,6,6,5,6
numpy-1.9.2,False,1,2,2,2,2
numpy-1.9.2,False,33,34,34,21,26
numpy-1.9.2,False,3,4,4,3,3
numpy-1.9.2,False,8,9,9,9,9
numpy-1.9.2,False,8,9,9,3,2
numpy-1.9.2,False,8,9,9,3,2
numpy-1.9.2,False,8,9,9,3,2
numpy-1.9.2,False,8,9,9,3,2
numpy-1.9.2,False,8,9,9,3,2
numpy-1.9.2,False,8,9,9,3,2
numpy-1.9.2,False,9,10,10,3,2
numpy-1.9.2,False,9,10,10,3,2
numpy-1.9.2,False,9,10,10,3,2
numpy-1.9.2,False,9,10,10,3,2
numpy-1.9.2,False,10,11,11,3,2
numpy-1.9.2,False,1,2,2,2,2
numpy-1.9.2,False,18,19,19,3,2
numpy-1.9.2,False,10,11,11,3,2
numpy-1.9.2,False,9,10,10,3,2
numpy-1.9.2,False,10,11,11,3,2
numpy-1.9.2,False,9,10,10,3,2
numpy-1.9.2,False,9,10,10,3,2
numpy-1.9.2,False,10,11,11,3,2
numpy-1.9.2,False,10,11,11,3,2
numpy-1.9.2,False,10,11,11,3,2
numpy-1.9.2,False,9,10,10,3,2
numpy-1.9.2,False,11,12,12,3,2
numpy-1.9.2,False,11,12,12,3,2
numpy-1.9.2,False,10,11,11,3,2
numpy-1.9.2,False,11,12,12,3,2
numpy-1.9.2,False,11,12,12,3,2
numpy-1.9.2,False,10,11,11,3,2
numpy-1.9.2,False,11,12,12,3,2
numpy-1.9.2,False,10,11,11,3,2
numpy-1.9.2,False,10,11,11,3,2
numpy-1.9.2,False,10,11,11,3,2
numpy-1.9.2,False,10,11,11,3,2
numpy-1.9.2,False,8,9,9,3,2
numpy-1.9.2,False,10,11,11,3,2
numpy-1.9.2,False,11,12,12,3,2
numpy-1.9.2,False,10,11,11,3,2
numpy-1.9.2,False,10,11,11,3,2
numpy-1.9.2,False,8,9,9,3,2
numpy-1.9.2,False,10,11,11,3,2
numpy-1.9.2,False,10,11,11,3,2
numpy-1.9.2,False,10,11,11,3,2
numpy-1.9.2,False,10,11,11,3,2
numpy-1.9.2,False,10,11,11,3,2
numpy-1.9.2,False,10,11,11,3,2
numpy-1.9.2,False,10,11,11,3,2
numpy-1.9.2,False,11,12,12,3,2
numpy-1.9.2,False,12,13,13,3,2
numpy-1.9.2,False,10,11,11,3,2
numpy-1.9.2,False,10,11,11,3,2
numpy-1.9.2,False,10,11,11,3,2
numpy-1.9.2,False,10,11,11,3,2
numpy-1.9.2,False,31,32,32,30,30
numpy-1.9.2,False,44,45,45,38,43
numpy-1.9.2,False,11,12,12,2,12
numpy-1.9.2,False,6,7,7,5,7
numpy-1.9.2,False,9,10,10,10,10
numpy-1.9.2,False,10,11,11,11,10
numpy-1.9.2,False,10,11,11,11,10
numpy-1.9.2,False,8,9,9,4,8
numpy-1.9.2,False,2,3,3,2,3
numpy-1.9.2,False,14,15,15,4,6
numpy-1.9.2,False,209,210,210,185,186
numpy-1.9.2,False,10,11,11,2,11
numpy-1.9.2,False,80,81,81,61,66
numpy-1.9.2,False,10,11,11,11,11
numpy-1.9.2,False,16,17,17,4,3
numpy-1.9.2,False,2,3,3,3,3
numpy-1.9.2,False,3,4,4,4,4
numpy-1.9.2,False,3,4,4,4,4
numpy-1.9.2,False,1,2,2,2,2
numpy-1.9.2,False,4,5,5,5,5
numpy-1.9.2,False,17,18,18,17,16
numpy-1.9.2,False,34,35,35,25,23
numpy-1.9.2,False,9,10,10,7,9
numpy-1.9.2,False,1,2,2,2,2
numpy-1.9.2,False,1,2,2,2,2
numpy-1.9.2,False,25,26,26,23,23
numpy-1.9.2,False,12,13,13,13,13
numpy-1.9.2,False,9,10,10,9,8
numpy-1.9.2,False,15,16,16,10,14
numpy-1.9.2,False,17,18,18,17,16
numpy-1.9.2,False,23,24,24,25,23
numpy-1.9.2,False,4,5,5,5,5
numpy-1.9.2,False,2,3,3,3,3
numpy-1.9.2,False,17,18,18,16,15
numpy-1.9.2,False,14,15,15,15,15
numpy-1.9.2,False,3,4,4,4,4
numpy-1.9.2,False,6,7,7,7,7
numpy-1.9.2,False,6,7,7,7,7
numpy-1.9.2,False,6,7,7,7,7
numpy-1.9.2,False,1,2,2,2,2
numpy-1.9.2,False,1,2,2,2,2
numpy-1.9.2,False,11,12,12,12,12
numpy-1.9.2,False,1,2,2,2,2
numpy-1.9.2,False,3,4,4,4,4
numpy-1.9.2,False,3,4,4,4,4
numpy-1.9.2,False,1,2,2,2,2
numpy-1.9.2,False,3,4,4,4,4
numpy-1.9.2,False,3,4,4,4,4
numpy-1.9.2,False,1,2,2,2,2
numpy-1.9.2,False,1,2,2,2,2
numpy-1.9.2,False,4,5,5,5,5
numpy-1.9.2,False,1,2,2,2,2
numpy-1.9.2,False,4,5,5,5,5
numpy-1.9.2,False,4,5,5,5,5
numpy-1.9.2,False,4,5,5,5,5
numpy-1.9.2,False,6,7,7,7,7
numpy-1.9.2,False,13,14,14,11,14
numpy-1.9.2,False,9,10,10,11,10
numpy-1.9.2,False,3,4,4,4,4
numpy-1.9.2,False,1,2,2,2,2
numpy-1.9.2,False,4,5,5,5,5
numpy-1.9.2,False,4,5,5,2,5
numpy-1.9.2,False,1,2,2,2,2
numpy-1.9.2,False,8,9,9,4,9
numpy-1.9.2,False,4,5,5,5,5
numpy-1.9.2,False,4,5,5,2,5
numpy-1.9.2,False,1,2,2,2,2
numpy-1.9.2,False,8,9,9,4,9
numpy-1.9.2,False,4,5,5,5,5
numpy-1.9.2,False,4,5,5,2,5
numpy-1.9.2,False,1,2,2,2,2
